word,count
SONA,65
THE,55
RT,53
TO,36
SA,34
OF,30
ANG,20
NA,19
NG,14
AND,14
5TH,13
MGA,12
IN,11
FOR,11
DUTERTES,10
DUTERTE,10
WE,9
PRESIDENT,8
MY,8
WITH,8
COVID19,7
NI,7
THIS,7
THAT,7
2020,7
MAY,6
AMP;,6
I,6
A,6
PA,5
UP,5
HIS,5
ON,5
TAG,5
IS,5
STATE,4
DI,4
STUDENT,4
SONA2020,4
PRES,4
YOU,4
RIN,4
RODRIGO,4
THEY,4
ROA,4
SI,4
YA,4
FIRST,4
YUNG,4
KA,4
KO,4
WAY,4
CONGRESS,3
ONE,3
SONAGKAISA,3
KHARAASONA,3
WOULD,3
AT,3
HIM,3
NAMAN,3
ME,3
COUNCIL,3
OWN,3
LANG,3
FROM,3
RAPPLERDOTCOM:,3
DURING,3
THA,3
IF,3
BEFORE,3
ARAW,3
LIKE,3
HER,3
GLOBE,3
SILA,3
ITS,3
PRESS,3
EVERYONE,3
DAPAT,3
KAR,2
SAME,2
HA,2
TIME,2
LAW,2
QUE,2
PRESIDENTS,2
PARA,2
21,2
CNNPHILIPPINES:,2
TE,2
LEADER,2
HAVE,2
TOTALLY,2
THROUGH,2
CAN,2
DRILON,2
GOVERNMENTS,2
WALANG,2
YOUR,2
HINDI,2
TWEET,2
SIYA,2
WAS,2
EXECUTIVE,2
REQUEST,2
ANCALERTS:,2
TAYONG,2
NANGA,2
NADINE,2
PASSAGE,2
GMANEWS:,2
EVEN,2
HE,2
AJITHKUMAR,2
PROVIDED,2
STEP,2
MARACEPEDA,2
RESPONSE,2
TAPOS,2
HELD,2
ONLY,2
WHICH,2
WHY,2
AKO,2
OFWS,2
WONT,2
KATRINADOMINGO,2
F…,2
PAGE,2
WHAT,2
SAID,2
LA,2
RIGHTS,2
5,2
ACT,2
TEST,2
SAAN,2
PANDEMIC,2
THALAAJITH,2
MATAPOS,2
ZUBIRI,2
BAYANIHAN,2
AS,2
COVID,2
LOOK:,2
BHAI,2
HEALTH,2
PLEASE,2
BUT,2
TAYO,2
KANYANG,2
AFTERNOON,2
SABI,2
MABUTI,2
AGAIN,2
GIVE,2
POSTSONA,2
SHARES,2
REACH,2
COVERS,2
PROTESTA,2
DILIMAN,2
KU,2
AFTER,2
HOGA,2
OUR,2
REACT,2
SENATE,2
PERO,2
ABOUT,2
CLEAR,2
HUMAN,2
ALSO,2
|,2
UPDATE,2
DONT,2
GROUPS,2
WAG,2
RELATED,2
KUNG,2
NO,2
NGAYONG,2
MESSAGE,2
REAPERSZN,2
EARLIER,2
PROTEST,2
FC,2
KACHRA,2
NAKITA,2
BA,2
THALAAJITHFC,2
PALA,2
WAR,2
TOWERNAMBA:,2
MUJHE,2
WERE,2
AGAINST,2
WAKASONA2020,2
BE,2
FANS,2
NATION,2
DISCUSSIONS,2
FRANKLIN,2
PANGULO,2
【ジェジュン】,2
PERSONA,2
VALIMAI,2
GET,2
NEW,2
HERE,2
BILLS,2
BAGONG,1
MATOM,1
RALLY,1
NEIGHBORS,1
BATAO,1
ANTISONA,1
35,1
IKALIMANG,1
CHARLISCTEX:,1
PLAYERS,1
SUPPORT,1
DIPIKAKAKAR,1
GALIT,1
MUST💯💯💯💯,1
HTTPS://TCO/NQ0ZQWKJ2D,1
PROJECT,1
PLARIDELDLSU:,1
DECLARED,1
LEGAL,1
HASHTAGNIKKO13:,1
SEEING,1
PHILIPPINE,1
CLARITY,1
THALA,1
HARRY,1
JOSEPHMORONG:,1
KAHAN,1
MARCOS:,1
ROSHNIDAMOR5,1
W/,1
PAIDA,1
ANYARE,1
LEGA,1
NAPANOOD,1
FIGHT,1
MUKHA,1
SAYING,1
DE,1
DECRY,1
BALIK,1
DECANSASOÑA,1
DESPI…,1
HOPE,1
PEHLE,1
ALWAYS,1
HTTPS://TCO/SJCNU8QTUO,1
ALTABSCBN:,1
GMANEWS,1
NAKIKITA,1
おちつきましｳﾞｵｵｵｵｪｱｱｱ,1
SHOOT,1
PREENPH:,1
SHET,1
BECAUSE,1
SB19NIZED:,1
REPATRIATED,1
HTTPS://TCO/AQRFUUJS0I,1
EFFORT,1
RAIN,1
SL,1
TWEETS,1
INVITED,1
COMMONWEALTH,1
NAGNEGATIBO,1
RIAATAYDE,1
CLOSELY,1
RANTS,1
MARKET,1
CDがあれば…,1
CHEL,1
BEEN,1
HURDLES,1
T…,1
さんが本誌に見せてくれた素顔の数々をグラビアで振り返ります。毎年恒例「好きなジャニーズ,1
PROGRAM,1
STUPID,1
HTTPS://TCO/BC4VFGYRPQ,1
DESIGNATED,1
MEASURES,1
RESOURCES,1
REPLAY,1
ABSOLUTALBERT:,1
NITO,1
🙂,1
CANNOT,1
ANAKBAYANUST:,1
YES,1
😂😂,1
CREATIVE,1
PRESIDENTIAL,1
RONAKSHI,1
HTTPS://TCO/M2BDQVKQRT,1
SUMMARY,1
\カバーアルバムを引っさげたツアー映像🎥/,1
PROTESTERS,1
NIYANG,1
SIKHA,1
😌,1
LOUD,1
SENATOR,1
ECONOMIC,1
SHUJOPRIME:,1
PAGSABIHAN,1
